Bill of Materials OpenROV v2.8,,,,
,,,,
PART,QUANTITY/ROV,RECOMMENDED SOURCE,Alternative Source,NOTES
Lasers,2,http://www.fasttech.com/products/0/10005940/1453713-5mw-650nm-red-laser-diode-module-head-5-pack,,
OpenROV Sticker,1,OpenROV Webstore,,
,,,,
Upgrades and Accessories (Section Complete),,,,
Rechargeable Li-FePO4 Batteries,6,OpenROV Webstore,http://www.batteryspace.com/lifepo4-26650-rechargeable-cell-3-2v-3300-mah-19-8a-rate-10wh---un38-3-passed-ndgr.aspx,
Smart Screen Battery Charger,2,OpenROV Webstore,https://www.fasttech.com/products/0/10005367/1429000-trustfire-tr-008-1-65-led-3-slot-smart-battery,Make sure it is on the 3V setting
IMU/Compass/Depth Module,1,OpenROV Webstore,,
,,,,
Other (See Notes),,,,
Afro 12AMP ESC,3,http://www.hobbyking.com/hobbyking/store/__64209__Afro_ESC_12Amp_OPTO_Ultra_Lite_Multi_rotor_Motor_Speed_Controller_SimonK_Firmware_Version_3.html,,These are already mounted on the v2.8 Controller Board
